method,availability_design,name,team,position,value,raw_forecast,starting_probability,adjusted_cost,role,is_captain,is_vice_captain
"ARIMA(1,0,0)",Unadjusted joint $\delta=0$,Ollie Watkins,Aston Villa,FWD,8.8,6.521280791806624,0.9642857142857143,6.521280791806624,XI,False,True
"ARIMA(1,0,0)",Unadjusted joint $\delta=0$,Phil Foden,Man City,MID,8.1,5.429759354737169,0.8571428571428571,5.429759354737169,XI,False,False
"ARIMA(1,0,0)",Unadjusted joint $\delta=0$,Son Heung-min,Spurs,MID,9.6,5.7718498486809935,0.7857142857142857,5.7718498486809935,XI,False,False
"ARIMA(1,0,0)",Unadjusted joint $\delta=0$,William Saliba,Arsenal,DEF,5.7,4.026783039564562,0.9642857142857143,4.026783039564562,XI,False,False
"ARIMA(1,0,0)",Unadjusted joint $\delta=0$,Đorđe Petrović,Chelsea,GK,4.5,3.8461577296238474,0.21428571428571427,3.8461577296238474,XI,False,False
"ARIMA(1,0,0)",Expected availability,Alphonse Areola,West Ham,GK,4.2,3.1947768878877363,0.8571428571428571,2.7383801896180597,Bench,False,False
"ARIMA(1,0,0)",Expected availability,Bukayo Saka,Arsenal,MID,9.1,6.889276021980589,0.9285714285714286,6.397184877553404,XI,True,False
"ARIMA(1,0,0)",Expected availability,Dominic Solanke,Bournemouth,FWD,7.0,5.166690308291283,0.9285714285714286,4.797641000556192,XI,False,False
"ARIMA(1,0,0)",Expected availability,Douglas Luiz Soares de Paulo,Aston Villa,MID,5.5,4.713835584186551,0.9285714285714286,4.37713304245894,XI,False,False
"ARIMA(1,0,0)",Expected availability,Emerson Palmieri dos Santos,West Ham,DEF,4.4,3.3457141090091707,0.8928571428571429,2.98724474018676,Bench,False,False
"ARIMA(1,0,0)",Expected availability,James Tarkowski,Everton,DEF,4.6,3.175959562477081,0.9642857142857143,3.062532435245757,Bench,False,False
"ARIMA(1,0,0)",Expected availability,Jarrod Bowen,West Ham,MID,7.7,5.042891747482581,0.9285714285714286,4.682685194090968,XI,False,False
"ARIMA(1,0,0)",Expected availability,Joachim Andersen,Crystal Palace,DEF,4.7,3.300563882087221,0.9642857142857143,3.182686600584106,XI,False,False
"ARIMA(1,0,0)",Expected availability,Jordan Pickford,Everton,GK,4.6,3.7198934275200375,0.9642857142857143,3.587040090822893,XI,False,False
"ARIMA(1,0,0)",Expected availability,Kieran Trippier,Newcastle,DEF,6.9,3.846133239496449,0.8928571428571429,3.434047535264687,XI,False,False
"ARIMA(1,0,0)",Expected availability,Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,4.203009734992741,0.8928571428571429,3.752687263386376,Bench,False,False
"ARIMA(1,0,0)",Expected availability,Mohamed Salah,Liverpool,MID,13.0,6.509131521625363,0.75,4.8818486412190225,XI,False,False
"ARIMA(1,0,0)",Expected availability,Ollie Watkins,Aston Villa,FWD,8.8,6.521280791806624,0.9642857142857143,6.288377906384959,XI,False,True
"ARIMA(1,0,0)",Expected availability,Phil Foden,Man City,MID,8.1,5.429759354737169,0.8571428571428571,4.6540794469175735,XI,False,False
"ARIMA(1,0,0)",Expected availability,William Saliba,Arsenal,DEF,5.7,4.026783039564562,0.9642857142857143,3.882969359580114,XI,False,False
"ARIMA(1,0,0)",Availability robust,André Onana,Man Utd,GK,4.8,3.5410898706271907,0.9642857142857143,3.0860501839926235,Bench,False,False
"ARIMA(1,0,0)",Availability robust,Anthony Gordon,Newcastle,MID,6.1,4.719112049475669,0.8928571428571429,3.4836945230762804,Bench,False,False
"ARIMA(1,0,0)",Availability robust,Bukayo Saka,Arsenal,MID,9.1,6.889276021980589,0.9285714285714286,5.510054950836419,XI,False,True
"ARIMA(1,0,0)",Availability robust,Dominic Solanke,Bournemouth,FWD,7.0,5.166690308291283,0.9285714285714286,4.132327899449511,XI,False,False
"ARIMA(1,0,0)",Availability robust,Douglas Luiz Soares de Paulo,Aston Villa,MID,5.5,4.713835584186551,0.9285714285714286,3.770133903069963,XI,False,False
"ARIMA(1,0,0)",Availability robust,Fabian Schär,Newcastle,DEF,5.4,3.280433028626252,0.9642857142857143,2.8588884556534726,XI,False,False
"ARIMA(1,0,0)",Availability robust,James Tarkowski,Everton,DEF,4.6,3.175959562477081,0.9642857142857143,2.7678401142639073,Bench,False,False
"ARIMA(1,0,0)",Availability robust,Jarrod Bowen,West Ham,MID,7.7,5.042891747482581,0.9285714285714286,4.0333135950851595,XI,False,False
"ARIMA(1,0,0)",Availability robust,Joachim Andersen,Crystal Palace,DEF,4.7,3.300563882087221,0.9642857142857143,2.8764324396518646,XI,False,False
"ARIMA(1,0,0)",Availability robust,Jordan Pickford,Everton,GK,4.6,3.7198934275200375,0.9642857142857143,3.2418769971511305,XI,False,False
"ARIMA(1,0,0)",Availability robust,Julián Álvarez,Man City,FWD,6.7,4.865286094876097,0.8928571428571429,3.591601628489036,XI,False,False
"ARIMA(1,0,0)",Availability robust,Kieran Trippier,Newcastle,DEF,6.9,3.846133239496449,0.8928571428571429,2.839253054596176,Bench,False,False
"ARIMA(1,0,0)",Availability robust,Ollie Watkins,Aston Villa,FWD,8.8,6.521280791806624,0.9642857142857143,5.683278460215384,XI,True,False
"ARIMA(1,0,0)",Availability robust,Phil Foden,Man City,MID,8.1,5.429759354737169,0.8571428571428571,3.7040694579740228,XI,False,False
"ARIMA(1,0,0)",Availability robust,William Saliba,Arsenal,DEF,5.7,4.026783039564562,0.9642857142857143,3.5093304587453393,XI,False,False
"ARIMA(1,0,1)",Unadjusted joint $\delta=0$,Bukayo Saka,Arsenal,MID,9.1,6.975393294884185,0.9285714285714286,6.975393294884185,XI,True,False
"ARIMA(1,0,1)",Unadjusted joint $\delta=0$,Cameron Archer,Sheffield Utd,FWD,4.3,3.046040620163375,0.6071428571428571,3.046040620163375,Bench,False,False
"ARIMA(1,0,1)",Unadjusted joint $\delta=0$,Chris Richards,Crystal Palace,DEF,3.9,3.3400655638178876,0.5357142857142857,3.3400655638178876,Bench,False,False
"ARIMA(1,0,1)",Unadjusted joint $\delta=0$,Cole Palmer,Chelsea,MID,5.8,4.973795323387624,0.6428571428571429,4.973795323387624,XI,False,False
"ARIMA(1,0,1)",Unadjusted joint $\delta=0$,Dominic Solanke,Bournemouth,FWD,7.0,4.945389090754579,0.9285714285714286,4.945389090754579,XI,False,False
