method,solution_id,policy,realized_points,mean_weekly_points,total_autosubs,substitute_points,total_planned_absences,design,design_family,xi_cap,bench_budget_rule,delta,is_nondominated,is_compromise,xi_score,bench_score,xi_spend,bench_spend,total_spend,formation,captain,vice_captain
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=65",sequential,633.0,52.75,13,56.0,26,"Two-stage fixed allocation, XI cap £65m",Two-stage,65.0,fixed_split,,,False,57.799470441000935,18.101941228206414,65.0,30.2,95.2,3-4-3,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=65",static,621.0,51.75,15,64.0,28,"Two-stage fixed allocation, XI cap £65m",Two-stage,65.0,fixed_split,,,False,57.799470441000935,18.101941228206414,65.0,30.2,95.2,3-4-3,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=70",sequential,772.0,64.33333333333333,11,16.0,21,"Two-stage fixed allocation, XI cap £70m",Two-stage,70.0,fixed_split,,,False,60.1769859428958,16.174988767984207,69.7,29.2,98.9,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=70",static,749.0,62.416666666666664,13,56.0,23,"Two-stage fixed allocation, XI cap £70m",Two-stage,70.0,fixed_split,,,False,60.1769859428958,16.174988767984207,69.7,29.2,98.9,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=75",sequential,762.0,63.5,16,35.0,24,"Two-stage fixed allocation, XI cap £75m",Two-stage,75.0,fixed_split,,,False,61.4339728554266,16.09227108364903,74.89999999999999,25.000000000000004,99.89999999999999,3-4-3,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=75",static,753.0,62.75,11,56.0,19,"Two-stage fixed allocation, XI cap £75m",Two-stage,75.0,fixed_split,,,False,61.4339728554266,16.09227108364903,74.89999999999999,25.000000000000004,99.89999999999999,3-4-3,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=80",sequential,734.0,61.166666666666664,10,36.0,19,"Two-stage fixed allocation, XI cap £80m",Two-stage,80.0,fixed_split,,,False,62.65142026382138,14.845934266735968,79.89999999999999,19.8,99.69999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=80",static,723.0,60.25,12,37.0,21,"Two-stage fixed allocation, XI cap £80m",Two-stage,80.0,fixed_split,,,False,62.65142026382138,14.845934266735968,79.89999999999999,19.8,99.69999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=83.5",sequential,643.0,53.583333333333336,17,49.0,28,"Two-stage fixed allocation, XI cap £83.5m",Two-stage,83.5,fixed_split,,,False,63.32948698670174,11.752729070128263,83.39999999999999,16.5,99.89999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | fixed_split | xi_cap=83.5",static,643.0,53.583333333333336,15,45.0,26,"Two-stage fixed allocation, XI cap £83.5m",Two-stage,83.5,fixed_split,,,False,63.32948698670174,11.752729070128263,83.39999999999999,16.5,99.89999999999999,3-5-2,Bukayo Saka,Ollie Watkins
