series,name,team,position,value,role,is_captain,is_vice_captain,xi_cap,xi_spend,bench_spend,total_spend
Robust Exponential Smoothing,Adama Traoré,Fulham,MID,4.9,XI,False,False,83.5,58.800000000000004,16.5,75.30000000000001
Robust Exponential Smoothing,Bukayo Saka,Arsenal,MID,9.1,XI,False,False,83.5,58.800000000000004,16.5,75.30000000000001
Robust Exponential Smoothing,Cesare Casadei,Chelsea,MID,4.5,XI,False,False,83.5,58.800000000000004,16.5,75.30000000000001
Robust Exponential Smoothing,Chris Richards,Crystal Palace,DEF,3.9,XI,True,False,83.5,58.800000000000004,16.5,75.30000000000001
Robust Exponential Smoothing,Daniel Muñoz,Crystal Palace,DEF,4.5,XI,False,True,83.5,58.800000000000004,16.5,75.30000000000001
Robust Exponential Smoothing,Ederson Santana de Moraes,Man City,GK,5.5,XI,False,False,83.5,58.800000000000004,16.5,75.30000000000001
Robust Exponential Smoothing,Jakub Kiwior,Arsenal,DEF,4.3,XI,False,False,83.5,58.800000000000004,16.5,75.30000000000001
Robust Exponential Smoothing,Jayden Danns,Liverpool,FWD,4.5,XI,False,False,83.5,58.800000000000004,16.5,75.30000000000001
Robust Exponential Smoothing,Lewis Dunk,Brighton,DEF,5.1,XI,False,False,83.5,58.800000000000004,16.5,75.30000000000001
Robust Exponential Smoothing,Luis Díaz,Liverpool,MID,7.5,XI,False,False,83.5,58.800000000000004,16.5,75.30000000000001
Robust Exponential Smoothing,Morgan Rogers,Aston Villa,MID,5.0,XI,False,False,83.5,58.800000000000004,16.5,75.30000000000001
Robust Exponential Smoothing,Cameron Archer,Sheffield Utd,FWD,4.3,Bench,False,False,83.5,58.800000000000004,16.5,75.30000000000001
Robust Exponential Smoothing,Conor Bradley,Liverpool,DEF,4.1,Bench,False,False,83.5,58.800000000000004,16.5,75.30000000000001
Robust Exponential Smoothing,Rodrigo Muniz Carvalho,Fulham,FWD,4.4,Bench,False,False,83.5,58.800000000000004,16.5,75.30000000000001
Robust Exponential Smoothing,Stefan Ortega Moreno,Man City,GK,3.7,Bench,False,False,83.5,58.800000000000004,16.5,75.30000000000001
"ARIMA (0,0,1)",Bukayo Saka,Arsenal,MID,9.1,XI,True,False,83.5,83.49999999999999,16.5,99.99999999999999
"ARIMA (0,0,1)",Dominic Solanke,Bournemouth,FWD,7.0,XI,False,False,83.5,83.49999999999999,16.5,99.99999999999999
"ARIMA (0,0,1)",Douglas Luiz Soares de Paulo,Aston Villa,MID,5.5,XI,False,False,83.5,83.49999999999999,16.5,99.99999999999999
