bootstrap,model,cost_spearman,normalized_cost_rmse,top15_jaccard,squad_jaccard,xi_jaccard,captain_same
45,Full LASSO,0.989727184519635,0.03863251980918141,1.0,1.0,0.8333333333333334,False
46,Full Ridge,0.9974153709367863,0.06993687766486108,0.875,0.5789473684210527,0.6923076923076923,True
46,Reduced Ridge,0.9973854297696171,0.06580078645597642,0.7647058823529411,0.5,0.6923076923076923,True
46,Parsimonious Ridge,0.9974166002540186,0.07400317965815728,0.875,0.5789473684210527,0.8333333333333334,True
46,Full LASSO,0.990246526510906,0.05802242935049288,0.875,0.875,0.8333333333333334,True
47,Full Ridge,0.9945053478529172,0.05657697569512821,1.0,0.5789473684210527,0.8333333333333334,True
47,Reduced Ridge,0.99557627068532,0.04984832138377243,0.875,0.5789473684210527,0.8333333333333334,True
47,Parsimonious Ridge,0.9983725506713625,0.053798267148080794,0.875,0.7647058823529411,0.6923076923076923,True
47,Full LASSO,0.9871899361155488,0.04977802333166848,0.875,1.0,0.8333333333333334,True
48,Full Ridge,0.9953028205267058,0.04791871272866548,0.875,0.5789473684210527,0.8333333333333334,True
48,Reduced Ridge,0.9955571641785043,0.04667571911207341,0.875,0.5789473684210527,0.8333333333333334,True
48,Parsimonious Ridge,0.9981310419249059,0.05511143368872179,0.875,0.6666666666666666,0.8333333333333334,True
48,Full LASSO,0.9978835851801438,0.06712282835129413,0.875,0.875,0.8333333333333334,True
49,Full Ridge,0.9978719685271452,0.03892157005319736,1.0,1.0,1.0,True
49,Reduced Ridge,0.9978784693233574,0.03757105594818888,1.0,0.6666666666666666,0.8333333333333334,True
49,Parsimonious Ridge,0.9986028705474157,0.03706153643528473,0.875,0.5,0.6923076923076923,True
49,Full LASSO,0.9973895281300393,0.04617303108558519,0.875,1.0,1.0,True
50,Full Ridge,0.9969509182176709,0.06096498536859523,0.875,0.5789473684210527,0.8333333333333334,True
50,Reduced Ridge,0.9971781335468152,0.04630363384683113,1.0,0.6666666666666666,0.8333333333333334,True
50,Parsimonious Ridge,0.9967609574514346,0.048795922053527126,0.7647058823529411,0.6666666666666666,0.8333333333333334,True
50,Full LASSO,0.9996027552439513,0.04576351964051792,0.875,1.0,1.0,True
51,Full Ridge,0.966036069292737,0.05616468532113175,0.875,0.5,0.8333333333333334,True
51,Reduced Ridge,0.9680876955742143,0.05119445486699706,0.875,0.5789473684210527,0.8333333333333334,False
51,Parsimonious Ridge,0.968214086054415,0.05881961386602047,0.875,0.6666666666666666,0.8333333333333334,True
51,Full LASSO,0.9737954335286279,0.05122286094823392,1.0,1.0,0.8333333333333334,True
52,Full Ridge,0.9789834050716337,0.047657581078807784,0.875,0.5,0.8333333333333334,True
52,Reduced Ridge,0.9807020947419789,0.04446840276503675,0.875,0.5,0.6923076923076923,True
52,Parsimonious Ridge,0.9801357753796555,0.04717337145953856,1.0,0.6666666666666666,1.0,True
52,Full LASSO,0.9875619977312042,0.043686820230510875,0.875,0.875,1.0,True
53,Full Ridge,0.9767300040769578,0.06436325920965905,0.875,1.0,1.0,True
53,Reduced Ridge,0.9806264396424721,0.05738158862781868,1.0,0.5789473684210527,0.8333333333333334,True
53,Parsimonious Ridge,0.9812589337764931,0.05795940296861318,0.7647058823529411,0.7647058823529411,0.6923076923076923,True
53,Full LASSO,0.9863032225951881,0.05852049166358034,0.875,1.0,1.0,True
54,Full Ridge,0.9860006812084339,0.0795874091114285,0.875,0.5789473684210527,0.8333333333333334,False
54,Reduced Ridge,0.9864668007983728,0.07871090011687326,0.875,0.5789473684210527,0.8333333333333334,False
54,Parsimonious Ridge,0.9886755921626318,0.08530881681214249,0.875,0.6666666666666666,0.8333333333333334,False
54,Full LASSO,0.999164978723281,0.04893613317341771,1.0,0.875,1.0,False
55,Full Ridge,0.9982381383753232,0.057792879072016995,0.875,0.5789473684210527,0.8333333333333334,True
55,Reduced Ridge,0.9982437015566971,0.05598861725153719,0.875,0.5,0.6923076923076923,True
55,Parsimonious Ridge,0.9983972203595519,0.05794228793095989,0.875,1.0,1.0,True
55,Full LASSO,0.9975813746544565,0.06057066403333889,0.875,1.0,1.0,True
56,Full Ridge,0.9643473416254462,0.05374332761784408,1.0,0.5,0.8333333333333334,True
56,Reduced Ridge,0.9641314610179026,0.0517789900196378,1.0,0.875,1.0,True
56,Parsimonious Ridge,0.9624048120393746,0.04925518690640985,0.7647058823529411,0.6666666666666666,0.6923076923076923,True
56,Full LASSO,0.9895073132908081,0.05345818024499132,0.875,1.0,0.8333333333333334,True
57,Full Ridge,0.9952309992300933,0.04026334691582839,0.875,0.5,0.8333333333333334,True
57,Reduced Ridge,0.9950287244556475,0.04117113995299715,0.875,0.5,0.8333333333333334,True
57,Parsimonious Ridge,0.9953130301105004,0.04291367102324455,0.875,0.5789473684210527,0.8333333333333334,True
57,Full LASSO,0.994243830476864,0.04932648016456433,0.875,0.7647058823529411,0.8333333333333334,True
58,Full Ridge,0.9935770049835896,0.04484628160843618,1.0,0.5,0.8333333333333334,True
58,Reduced Ridge,0.9936879144010159,0.04419646793546396,1.0,0.875,1.0,True
58,Parsimonious Ridge,0.9941231968807179,0.04237128469423517,0.875,0.6666666666666666,0.6923076923076923,True
58,Full LASSO,0.9946978288679553,0.06178720720210481,0.875,0.875,0.8333333333333334,True
59,Full Ridge,0.9951877439322205,0.046483175679201,1.0,0.875,1.0,True
59,Reduced Ridge,0.9953006535946352,0.04551501301407275,1.0,0.875,1.0,True
59,Parsimonious Ridge,0.9958615972985526,0.0538915858790298,0.6666666666666666,0.6666666666666666,0.6923076923076923,True
59,Full LASSO,0.9964933102656518,0.04720054501366414,0.875,0.875,0.8333333333333334,True
60,Full Ridge,0.9688163056471021,0.036061651950846464,0.875,1.0,1.0,True
60,Reduced Ridge,0.969004391183662,0.031823532513278394,0.875,0.6666666666666666,0.8333333333333334,True
60,Parsimonious Ridge,0.9727287431725231,0.03419692137396047,1.0,0.6666666666666666,0.8333333333333334,True
60,Full LASSO,0.9900008471306121,0.03975705343537957,0.875,1.0,0.8333333333333334,True
61,Full Ridge,0.979055913952461,0.04999405082593669,1.0,0.42857142857142855,0.5714285714285714,True
61,Reduced Ridge,0.9795314305266681,0.051477358309196565,1.0,0.5,0.6923076923076923,True
61,Parsimonious Ridge,0.9813295465917586,0.060316537315085086,0.7647058823529411,0.5789473684210527,0.8333333333333334,True
61,Full LASSO,0.9884651575472096,0.07549500261824169,0.875,0.875,0.8333333333333334,True
62,Full Ridge,0.9816655044062585,0.0367822006656399,0.875,0.5789473684210527,0.8333333333333334,True
62,Reduced Ridge,0.9892963140214611,0.034016468648234106,0.875,1.0,1.0,True
