model,position,alpha,cv_rmse_mean,cv_rmse_se,cv_mae_mean,folds,one_se_threshold,selected,selection_rule
Reduced Ridge,GK,0.31622776601683794,1.5031525742865763,0.12453797804151948,0.6752606291708217,3,1.6214500094830915,False,minimum rolling-origin RMSE
Reduced Ridge,GK,1.0,1.5029695517707446,0.12413260430615577,0.6754224312303748,3,1.6214500094830915,False,minimum rolling-origin RMSE
Reduced Ridge,GK,3.1622776601683795,1.5024791848498786,0.12293832936070145,0.6760271197752951,3,1.6214500094830915,False,minimum rolling-origin RMSE
Reduced Ridge,GK,10.0,1.5015943790018473,0.11985563048124404,0.6779494641372477,3,1.6214500094830915,True,minimum rolling-origin RMSE
Reduced Ridge,GK,31.622776601683793,1.501886652022278,0.11396608846528548,0.6834783116006641,3,1.6214500094830915,False,minimum rolling-origin RMSE
Reduced Ridge,GK,100.0,1.5072533736887312,0.10740546623135011,0.6957766986816246,3,1.6214500094830915,False,minimum rolling-origin RMSE
Reduced Ridge,GK,316.2277660168379,1.5177078635564794,0.10667560042065252,0.7192299975855957,3,1.6214500094830915,False,minimum rolling-origin RMSE
Reduced Ridge,GK,1000.0,1.5399342107305432,0.11973661992655313,0.7683489510324363,3,1.6214500094830915,False,minimum rolling-origin RMSE
Reduced Ridge,DEF,0.001,2.0174911260626467,0.04966651185557795,1.1205584785203742,3,2.0619182861365593,False,minimum rolling-origin RMSE
Reduced Ridge,DEF,0.0031622776601683794,2.0174910397480637,0.04966644770897715,1.1205584422191344,3,2.0619182861365593,False,minimum rolling-origin RMSE
Reduced Ridge,DEF,0.01,2.017490766817056,0.0496662448708753,1.1205583274349464,3,2.0619182861365593,False,minimum rolling-origin RMSE
Reduced Ridge,DEF,0.03162277660168379,2.017489903930087,0.04966560355306535,1.1205579645595647,3,2.0619182861365593,False,minimum rolling-origin RMSE
Reduced Ridge,DEF,0.1,2.017487177207353,0.04966357665327866,1.1205568180872838,3,2.0619182861365593,False,minimum rolling-origin RMSE
Reduced Ridge,DEF,0.31622776601683794,2.0174785741714256,0.049657178263656565,1.1205532030124052,3,2.0619182861365593,False,minimum rolling-origin RMSE
Reduced Ridge,DEF,1.0,2.0174515640341784,0.04963705640103022,1.1205418745417601,3,2.0619182861365593,False,minimum rolling-origin RMSE
Reduced Ridge,DEF,3.1622776601683795,2.0173680657834434,0.04957452059407585,1.120507069572109,3,2.0619182861365593,False,minimum rolling-origin RMSE
Reduced Ridge,DEF,10.0,2.0171221210226338,0.04938708848816835,1.1204067365862882,3,2.0619182861365593,False,minimum rolling-origin RMSE
Reduced Ridge,DEF,31.622776601683793,2.0164971562159435,0.04888107920061553,1.1201846257668386,3,2.0619182861365593,False,minimum rolling-origin RMSE
Reduced Ridge,DEF,100.0,2.01547897384903,0.047827000038063776,1.1202511635730985,3,2.0619182861365593,False,minimum rolling-origin RMSE
Reduced Ridge,DEF,316.2277660168379,2.015409468913094,0.0465088172234651,1.1229642690518251,3,2.0619182861365593,True,minimum rolling-origin RMSE
Reduced Ridge,DEF,1000.0,2.018321052113951,0.0462958402911404,1.1343385621631654,3,2.0619182861365593,False,minimum rolling-origin RMSE
Reduced Ridge,MID,0.001,2.0906297156800866,0.06341552538596372,1.0897480638589851,3,2.1540541703501535,False,minimum rolling-origin RMSE
Reduced Ridge,MID,0.0031622776601683794,2.0906297098599356,0.06341552980038324,1.089748080725919,3,2.1540541703501535,False,minimum rolling-origin RMSE
Reduced Ridge,MID,0.01,2.090629691456977,0.06341554376011582,1.0897481340650244,3,2.1540541703501535,False,minimum rolling-origin RMSE
Reduced Ridge,MID,0.03162277660168379,2.090629633281464,0.0634155879057857,1.0897483027498622,3,2.1540541703501535,False,minimum rolling-origin RMSE
Reduced Ridge,MID,0.1,2.090629449511773,0.0634157275178369,1.0897488362959113,3,2.1540541703501535,False,minimum rolling-origin RMSE
Reduced Ridge,MID,0.31622776601683794,2.0906288703526794,0.0634161691213823,1.0897505246938015,3,2.1540541703501535,False,minimum rolling-origin RMSE
Reduced Ridge,MID,1.0,2.090627058524619,0.06341756669728539,1.0897558756350392,3,2.1540541703501535,False,minimum rolling-origin RMSE
Reduced Ridge,MID,3.1622776601683795,2.090621522769523,0.06342199687659385,1.089772913957573,3,2.1540541703501535,False,minimum rolling-origin RMSE
Reduced Ridge,MID,10.0,2.090605876527736,0.0634361014267538,1.0898279513092748,3,2.1540541703501535,False,minimum rolling-origin RMSE
