bootstrap,model,position,feature,feature_label,standardized_coefficient,selected_nonzero
3,Reduced Ridge,FWD,selected,Selected,0.368104901916315,True
3,Reduced Ridge,FWD,starts,Starts,0.34120652056579026,True
3,Parsimonious Ridge,GK,expected_goal_involvements,xGI,-0.0799120880252729,True
3,Parsimonious Ridge,GK,expected_goals_conceded,xGC,-0.14054137255017704,True
3,Parsimonious Ridge,GK,selected,Selected,0.0669033109616431,True
3,Parsimonious Ridge,GK,starts,Starts,1.2507834974294814,True
3,Parsimonious Ridge,DEF,expected_goal_involvements,xGI,0.14320763460447228,True
3,Parsimonious Ridge,DEF,expected_goals_conceded,xGC,0.03306837634701115,True
3,Parsimonious Ridge,DEF,selected,Selected,0.19163867806299334,True
3,Parsimonious Ridge,DEF,starts,Starts,0.7911748626698467,True
3,Parsimonious Ridge,MID,expected_goal_involvements,xGI,0.6210097127964685,True
3,Parsimonious Ridge,MID,expected_goals_conceded,xGC,0.23323410060722444,True
3,Parsimonious Ridge,MID,selected,Selected,0.21227948602854194,True
3,Parsimonious Ridge,MID,starts,Starts,0.4700163998059667,True
3,Parsimonious Ridge,FWD,expected_goal_involvements,xGI,0.30172841288986546,True
3,Parsimonious Ridge,FWD,expected_goals_conceded,xGC,0.387683253374803,True
3,Parsimonious Ridge,FWD,selected,Selected,0.41188856528591805,True
3,Parsimonious Ridge,FWD,starts,Starts,0.4774925535860684,True
3,Full LASSO,GK,expected_assists,xA,0.0,False
3,Full LASSO,GK,expected_goal_involvements,xGI,0.0,False
3,Full LASSO,GK,expected_goals,xG,0.0,False
3,Full LASSO,GK,expected_goals_conceded,xGC,0.0,False
3,Full LASSO,GK,ict_index,ICT,0.0,False
3,Full LASSO,GK,selected,Selected,0.0,False
3,Full LASSO,GK,starts,Starts,0.677349903059186,True
3,Full LASSO,DEF,expected_assists,xA,0.0,False
3,Full LASSO,DEF,expected_goal_involvements,xGI,0.0,False
3,Full LASSO,DEF,expected_goals,xG,0.0,False
3,Full LASSO,DEF,expected_goals_conceded,xGC,0.0,False
3,Full LASSO,DEF,ict_index,ICT,0.30164956430177203,True
3,Full LASSO,DEF,selected,Selected,0.0,False
3,Full LASSO,DEF,starts,Starts,0.30620228464553256,True
3,Full LASSO,MID,expected_assists,xA,0.0,False
3,Full LASSO,MID,expected_goal_involvements,xGI,0.19016458630004038,True
3,Full LASSO,MID,expected_goals,xG,0.0,False
3,Full LASSO,MID,expected_goals_conceded,xGC,0.08163700723822052,True
3,Full LASSO,MID,ict_index,ICT,0.6927244314466262,True
3,Full LASSO,MID,selected,Selected,0.0,False
3,Full LASSO,MID,starts,Starts,0.18611822729285224,True
3,Full LASSO,FWD,expected_assists,xA,0.0,False
3,Full LASSO,FWD,expected_goal_involvements,xGI,0.0,False
3,Full LASSO,FWD,expected_goals,xG,0.0,False
3,Full LASSO,FWD,expected_goals_conceded,xGC,0.0,False
3,Full LASSO,FWD,ict_index,ICT,0.6692421030060258,True
3,Full LASSO,FWD,selected,Selected,0.006476359008582044,True
3,Full LASSO,FWD,starts,Starts,0.2546843631655864,True
4,Full Ridge,GK,expected_assists,xA,-0.00954305584011288,True
4,Full Ridge,GK,expected_goal_involvements,xGI,2.521712081904891e-05,True
4,Full Ridge,GK,expected_goals,xG,0.10896403071691928,True
4,Full Ridge,GK,expected_goals_conceded,xGC,-0.45176988954397373,True
4,Full Ridge,GK,ict_index,ICT,0.3105510564226125,True
4,Full Ridge,GK,selected,Selected,0.07900787252602139,True
4,Full Ridge,GK,starts,Starts,1.312697010178729,True
4,Full Ridge,DEF,expected_assists,xA,0.09564444011363096,True
4,Full Ridge,DEF,expected_goal_involvements,xGI,0.0352576172908741,True
4,Full Ridge,DEF,expected_goals,xG,-0.059426763519384314,True
4,Full Ridge,DEF,expected_goals_conceded,xGC,-0.0109841582647927,True
4,Full Ridge,DEF,ict_index,ICT,0.5898706110150752,True
4,Full Ridge,DEF,selected,Selected,-0.07022580303493307,True
4,Full Ridge,DEF,starts,Starts,0.4830585429249647,True
4,Full Ridge,MID,expected_assists,xA,0.04571505880463586,True
4,Full Ridge,MID,expected_goal_involvements,xGI,0.0893950170467032,True
4,Full Ridge,MID,expected_goals,xG,0.1035946962804302,True
4,Full Ridge,MID,expected_goals_conceded,xGC,0.2424377379756561,True
4,Full Ridge,MID,ict_index,ICT,0.6176802373771669,True
4,Full Ridge,MID,selected,Selected,0.13176484088026127,True
4,Full Ridge,MID,starts,Starts,0.31665108395838426,True
4,Full Ridge,FWD,expected_assists,xA,0.17365462173614907,True
4,Full Ridge,FWD,expected_goal_involvements,xGI,0.16649405681959917,True
4,Full Ridge,FWD,expected_goals,xG,0.1452309036063763,True
4,Full Ridge,FWD,expected_goals_conceded,xGC,0.33824619644280585,True
4,Full Ridge,FWD,ict_index,ICT,0.35313868393160197,True
4,Full Ridge,FWD,selected,Selected,0.11447965058404154,True
4,Full Ridge,FWD,starts,Starts,0.34785900494791294,True
4,Reduced Ridge,GK,expected_goal_involvements,xGI,-0.0034543604760300948,True
4,Reduced Ridge,GK,expected_goals_conceded,xGC,-0.47150336426993894,True
4,Reduced Ridge,GK,ict_index,ICT,0.3092538453983468,True
4,Reduced Ridge,GK,selected,Selected,0.08095116069018728,True
4,Reduced Ridge,GK,starts,Starts,1.3395505640670233,True
4,Reduced Ridge,DEF,expected_goal_involvements,xGI,0.036235518711702434,True
4,Reduced Ridge,DEF,expected_goals_conceded,xGC,-0.023524015543929046,True
4,Reduced Ridge,DEF,ict_index,ICT,0.6301126463856056,True
4,Reduced Ridge,DEF,selected,Selected,-0.04483640478359267,True
4,Reduced Ridge,DEF,starts,Starts,0.47298440833433714,True
4,Reduced Ridge,MID,expected_goal_involvements,xGI,0.19859604208899817,True
4,Reduced Ridge,MID,expected_goals_conceded,xGC,0.24447346159940217,True
4,Reduced Ridge,MID,ict_index,ICT,0.6546632453986673,True
4,Reduced Ridge,MID,selected,Selected,0.131463086074772,True
4,Reduced Ridge,MID,starts,Starts,0.30314232891016585,True
4,Reduced Ridge,FWD,expected_goal_involvements,xGI,0.28416449253220016,True
4,Reduced Ridge,FWD,expected_goals_conceded,xGC,0.3427155651730487,True
4,Reduced Ridge,FWD,ict_index,ICT,0.4314339236505901,True
4,Reduced Ridge,FWD,selected,Selected,0.14079148680464584,True
4,Reduced Ridge,FWD,starts,Starts,0.3823314669873211,True
4,Parsimonious Ridge,GK,expected_goal_involvements,xGI,-0.0015961844883586758,True
4,Parsimonious Ridge,GK,expected_goals_conceded,xGC,-0.3393579795962146,True
4,Parsimonious Ridge,GK,selected,Selected,0.07975421324465143,True
4,Parsimonious Ridge,GK,starts,Starts,1.508947484551867,True
4,Parsimonious Ridge,DEF,expected_goal_involvements,xGI,0.3602284664107585,True
4,Parsimonious Ridge,DEF,expected_goals_conceded,xGC,0.04244709854901927,True
4,Parsimonious Ridge,DEF,selected,Selected,-0.0016071730548586087,True
4,Parsimonious Ridge,DEF,starts,Starts,0.7061983201757033,True
4,Parsimonious Ridge,MID,expected_goal_involvements,xGI,0.6011519286444138,True
4,Parsimonious Ridge,MID,expected_goals_conceded,xGC,0.22921329892709139,True
4,Parsimonious Ridge,MID,selected,Selected,0.16767928754180422,True
4,Parsimonious Ridge,MID,starts,Starts,0.5544664014400086,True
4,Parsimonious Ridge,FWD,expected_goal_involvements,xGI,0.5071079596409359,True
4,Parsimonious Ridge,FWD,expected_goals_conceded,xGC,0.38391969025010275,True
4,Parsimonious Ridge,FWD,selected,Selected,0.16967186299573217,True
4,Parsimonious Ridge,FWD,starts,Starts,0.5120556415579292,True
4,Full LASSO,GK,expected_assists,xA,0.0,False
4,Full LASSO,GK,expected_goal_involvements,xGI,0.0,False
4,Full LASSO,GK,expected_goals,xG,0.0,False
4,Full LASSO,GK,expected_goals_conceded,xGC,0.0,False
4,Full LASSO,GK,ict_index,ICT,0.0,False
4,Full LASSO,GK,selected,Selected,0.0,False
4,Full LASSO,GK,starts,Starts,0.7677616524069161,True
4,Full LASSO,DEF,expected_assists,xA,0.0,False
4,Full LASSO,DEF,expected_goal_involvements,xGI,0.0,False
4,Full LASSO,DEF,expected_goals,xG,0.0,False
4,Full LASSO,DEF,expected_goals_conceded,xGC,0.0,False
4,Full LASSO,DEF,ict_index,ICT,0.43754530344572357,True
4,Full LASSO,DEF,selected,Selected,0.0,False
4,Full LASSO,DEF,starts,Starts,0.18526288251211986,True
4,Full LASSO,MID,expected_assists,xA,0.0,False
4,Full LASSO,MID,expected_goal_involvements,xGI,0.10662608174464831,True
4,Full LASSO,MID,expected_goals,xG,0.0,False
4,Full LASSO,MID,expected_goals_conceded,xGC,0.13002365173669223,True
4,Full LASSO,MID,ict_index,ICT,0.7469513449213864,True
4,Full LASSO,MID,selected,Selected,0.0,False
4,Full LASSO,MID,starts,Starts,0.23785466125537283,True
4,Full LASSO,FWD,expected_assists,xA,0.0,False
4,Full LASSO,FWD,expected_goal_involvements,xGI,0.0,False
4,Full LASSO,FWD,expected_goals,xG,0.0,False
4,Full LASSO,FWD,expected_goals_conceded,xGC,0.0,False
4,Full LASSO,FWD,ict_index,ICT,0.5912343687349079,True
4,Full LASSO,FWD,selected,Selected,0.0,False
4,Full LASSO,FWD,starts,Starts,0.41838097249621325,True
5,Full Ridge,GK,expected_assists,xA,0.018476247142533923,True
5,Full Ridge,GK,expected_goal_involvements,xGI,0.018476247142537264,True
5,Full Ridge,GK,expected_goals,xG,0.0,False
5,Full Ridge,GK,expected_goals_conceded,xGC,-0.3721268867744639,True
5,Full Ridge,GK,ict_index,ICT,0.44576905132730904,True
5,Full Ridge,GK,selected,Selected,0.12752248533048371,True
5,Full Ridge,GK,starts,Starts,1.0867515710386464,True
5,Full Ridge,DEF,expected_assists,xA,0.07526083253610208,True
5,Full Ridge,DEF,expected_goal_involvements,xGI,0.008422290322733221,True
5,Full Ridge,DEF,expected_goals,xG,-0.050020479150640305,True
5,Full Ridge,DEF,expected_goals_conceded,xGC,0.08200066786869778,True
5,Full Ridge,DEF,ict_index,ICT,0.4598902178183246,True
5,Full Ridge,DEF,selected,Selected,-0.05692236846729002,True
5,Full Ridge,DEF,starts,Starts,0.35423164988302586,True
5,Full Ridge,MID,expected_assists,xA,0.1203441561734334,True
5,Full Ridge,MID,expected_goal_involvements,xGI,0.10553087824771173,True
5,Full Ridge,MID,expected_goals,xG,0.07549676738163603,True
5,Full Ridge,MID,expected_goals_conceded,xGC,0.2171371041864509,True
5,Full Ridge,MID,ict_index,ICT,0.5320331261965945,True
5,Full Ridge,MID,selected,Selected,0.12056203322207133,True
5,Full Ridge,MID,starts,Starts,0.34004784422315704,True
5,Full Ridge,FWD,expected_assists,xA,0.16661112059338964,True
5,Full Ridge,FWD,expected_goal_involvements,xGI,0.06966212845619447,True
5,Full Ridge,FWD,expected_goals,xG,0.03735585290647927,True
5,Full Ridge,FWD,expected_goals_conceded,xGC,0.36922198669154954,True
5,Full Ridge,FWD,ict_index,ICT,0.4348992496009646,True
5,Full Ridge,FWD,selected,Selected,0.21366299597735475,True
5,Full Ridge,FWD,starts,Starts,0.19336093644891475,True
5,Reduced Ridge,GK,expected_goal_involvements,xGI,0.036838626424243306,True
5,Reduced Ridge,GK,expected_goals_conceded,xGC,-0.3721657142252338,True
5,Reduced Ridge,GK,ict_index,ICT,0.445794338161198,True
5,Reduced Ridge,GK,selected,Selected,0.12750738086018729,True
5,Reduced Ridge,GK,starts,Starts,1.0868112061983632,True
5,Reduced Ridge,DEF,expected_goal_involvements,xGI,-0.0034726357061921342,True
5,Reduced Ridge,DEF,expected_goals_conceded,xGC,0.058340524925273196,True
5,Reduced Ridge,DEF,ict_index,ICT,0.49099307901725636,True
5,Reduced Ridge,DEF,selected,Selected,-0.0412230812723816,True
5,Reduced Ridge,DEF,starts,Starts,0.366566278085587,True
5,Reduced Ridge,MID,expected_goal_involvements,xGI,0.20725149625837255,True
5,Reduced Ridge,MID,expected_goals_conceded,xGC,0.21878409667809431,True
5,Reduced Ridge,MID,ict_index,ICT,0.6087598301601475,True
5,Reduced Ridge,MID,selected,Selected,0.12798254891150354,True
