model,name,position,reference_cost,bootstrap_mean_cost,bootstrap_sd_cost,absolute_cv
Full LASSO,Konstantinos Tsimikas,DEF,0.5781500125583138,0.5784270710629168,0.026639177606340565,0.04605451393792557
Full LASSO,Kortney Hause,DEF,0.3985724532106296,0.39940173073458335,0.02747323668026522,0.06878597303455894
Full LASSO,Kristian Sekularac,MID,0.2762447155466481,0.2767087743129703,0.020135581560720747,0.07276813541859892
Full LASSO,Kristoffer Ajer,DEF,1.3227737645467292,1.3165368564894295,0.05644575533334242,0.042874420913559606
Full LASSO,Kurt Zouma,DEF,1.3284211922822835,1.3259760396587623,0.07184538569751818,0.054183019563466224
Full LASSO,Kyle Walker,DEF,2.2238572571990747,2.2154606274897928,0.0570213369605142,0.025737914839462393
Full LASSO,Lawrence Vigouroux,GK,0.21798171430345936,0.2191358039174993,0.029247784595321874,0.1334687626232596
Full LASSO,Leander Dendoncker,MID,0.4250164076209866,0.42420243121949913,0.020306726142234666,0.04787036718261325
Full LASSO,Leandro Trossard,MID,3.2659405117611895,3.2326641308959254,0.08090975294075904,0.025028815139646162
Full LASSO,Leigh Kavanagh,DEF,0.3985724532106296,0.39940173073458335,0.02747323668026522,0.06878597303455894
Full LASSO,Leo Castledine,MID,0.2762447155466481,0.2767099391736284,0.020135275170741512,0.07276672182746259
Full LASSO,Leon Bailey,MID,4.975784594124338,4.994927292622394,0.1679926614784521,0.03363265401812366
Full LASSO,Lesley Ugochukwu,MID,0.3022981560036292,0.30288528939541903,0.020011821607131944,0.06607062907240226
Full LASSO,Levi Colwill,DEF,1.3478414418185078,1.3444445001373404,0.03975106677998014,0.029566907950398402
Full LASSO,Lewis Cook,MID,1.9135339963431048,1.9205241908012356,0.07538876540738584,0.03925426493895603
Full LASSO,Lewis Dobbin,MID,0.4260681228098936,0.4268421697364225,0.02075203347151301,0.04861758032091231
Full LASSO,Lewis Dunk,DEF,4.083638710611886,4.056501253649053,0.16140510819237414,0.03978924154089219
Full LASSO,Lewis Hall,DEF,0.4384337094374841,0.4391414103427404,0.027453199934579762,0.0625156254636818
Full LASSO,Lewis Koumas,FWD,0.4164965560034109,0.411933394663427,0.04669360785635953,0.11335232457788683
Full LASSO,Lewis Miley,MID,2.2488167917107886,2.25396763534502,0.09946293584021013,0.044127934350301844
Full LASSO,Lewis O'Brien,MID,0.2762447155466481,0.27671536375409894,0.020133853282546698,0.07276015689695675
Full LASSO,Lewis Orford,MID,0.2762447155466481,0.2767094281741292,0.02013540953146134,0.07276734177192698
Full LASSO,Lisandro Martínez,DEF,0.7358064366386625,0.7356385333104507,0.02662164730569038,0.03618848945539893
Full LASSO,Lloyd Kelly,DEF,0.915559645519413,0.916429978133221,0.05028261492144194,0.054867928942992715
Full LASSO,Lorenz Assignon,DEF,1.640796206375782,1.6354748700212978,0.07071113448022712,0.04323584285908734
Full LASSO,Loris Karius,GK,0.737343275121805,0.7359288563700553,0.05152446086387368,0.07001282857424068
Full LASSO,Louie Marsh,FWD,0.4164965560034109,0.4119798352923922,0.046674573092699075,0.11329334373749868
Full LASSO,Louie Watson,MID,0.2762447155466481,0.27681568632061676,0.02010902009883369,0.07264407724186114
Full LASSO,Loïc Mbe Soh,DEF,0.3985724532106296,0.39940173073458335,0.02747323668026522,0.06878597303455894
Full LASSO,Luc De Fougerolles,DEF,0.3985724532106296,0.39940173073458335,0.02747323668026522,0.06878597303455894
Full LASSO,Luca Barrington,MID,0.2762447155466481,0.2767104284770748,0.0201351465821337,0.07276612845042044
Full LASSO,Luca Koleosho,MID,0.3038970922646762,0.30418433114261667,0.020100091123832292,0.0660786538489005
Full LASSO,Lucas Bergström,GK,0.21798171430345936,0.2191358039174993,0.029247784595321874,0.1334687626232596
Full LASSO,Lucas Digne,DEF,0.7681873496245044,0.7669912653496486,0.028979808056571167,0.0377837523917044
Full LASSO,Lucas Tolentino Coelho de Lima,MID,1.1442814153650807,1.1457517579198855,0.049715363652004164,0.04339104287499633
Full LASSO,Luis Díaz,MID,7.0946393257769245,7.024782699658965,0.2381475188359702,0.03390105132327177
Full LASSO,Luis Sinisterra,MID,1.5543637574867797,1.5441271835422967,0.036762887582978104,0.023808199204577437
Full LASSO,Lukasz Fabianski,GK,0.2839351900877063,0.285061518834314,0.029807508715989476,0.1045651789055206
Full LASSO,Luke Berry,MID,0.7043187298140049,0.7049631235769621,0.029114520012461568,0.041299351751529004
Full LASSO,Luke Chambers,DEF,0.3985724532106296,0.39940173073458335,0.02747323668026522,0.06878597303455894
Full LASSO,Luke Cundle,MID,0.2762447155466481,0.27671688651265475,0.020133455595266397,0.07275831933858384
Full LASSO,Luke Freeman,MID,0.2762447155466481,0.2767155528865597,0.02013380385351167,0.07275992853847857
Full LASSO,Luke Harris,MID,0.2763063233506128,0.27678580802552566,0.02013079981353928,0.0727306069525168
Full LASSO,Luke McNally,DEF,0.3985724532106296,0.39940173073458335,0.02747323668026522,0.06878597303455894
Full LASSO,Luke Plange,FWD,0.4164965560034109,0.41195232482470684,0.046685823733289715,0.11332822008749527
Full LASSO,Luke Shaw,DEF,1.093582810149514,1.0938829250184274,0.050244827235198075,0.04593254550924785
Full LASSO,Luke Thomas,DEF,0.42928146586527594,0.43019059831663026,0.02694563417115974,0.06263650176596172
Full LASSO,Lyle Foster,FWD,0.9098178338907947,0.907967448849304,0.060445727455653554,0.0665725710015908
Full LASSO,Mackenzie Hunt,MID,0.2762447155466481,0.2767144541181579,0.020134091150080344,0.07276125569314505
Full LASSO,Mads Bech Sørensen,DEF,0.3985724532106296,0.39940173073458335,0.02747323668026522,0.06878597303455894
Full LASSO,Mads Bidstrup,MID,0.2762447155466481,0.2767094349095476,0.020135407760003363,0.07276733359881764
Full LASSO,Mads Juel Andersen,DEF,0.4192879271220418,0.41998776335285,0.027459986505612828,0.06538282517184316
Full LASSO,Mads Roerslev Rasmussen,DEF,1.8795777167967247,1.8742946101019458,0.06155204942454701,0.03284011440506629
