name,lag_expected_assists,lag_expected_goal_involvements,lag_expected_goals,lag_expected_goals_conceded,lag_ict_index,lag_selected,lag_starts,lag_total_points,history_gameweeks,team,position,value,model_prediction,cost_vector,model,future_total_points,future_mean_points,future_appearances
Kristian Sekularac,0.0,0.0,0.0,0.0,0.0,50.66666666666667,0.0,0.0,5,Fulham,MID,4.5,0.41436707331997213,0.2762447155466481,Full LASSO,0.0,0.0,0
Kristoffer Ajer,0.03595997904235926,0.036298650330892974,0.0003386712885337151,1.7153433919391836,2.798764057519092,23905.40427246688,0.7850934346093676,0.8125668941408287,25,Brentford,DEF,4.4,1.5778771997496799,1.3227737645467292,Full LASSO,40.0,3.3333333333333335,10
Kurt Zouma,0.0009990726122902603,0.027549535584793353,0.026550462972503092,1.6187557103452472,2.145805088964212,155760.9883136599,0.9478966121484609,0.8184493729980349,26,West Ham,DEF,4.5,1.5834071019244078,1.3284211922822835,Full LASSO,27.0,2.25,11
Kyle Walker,0.10959620758023067,0.1275310382986912,0.017934830718460505,0.6608495949560014,3.1452944725062806,1860371.710220688,0.6748971193415639,3.5538990954493324,25,Man City,DEF,5.5,1.558836338073946,2.2238572571990747,Full LASSO,43.0,3.5833333333333335,7
Lawrence Vigouroux,0.0,0.0,0.0,0.0,0.0,27803.279440925384,0.0,0.0,25,Burnley,GK,3.9,0.32697257145518904,0.21798171430345936,Full LASSO,0.0,0.0,0
Leander Dendoncker,0.00019509221155311702,0.014024962319429637,0.013829870107876518,0.01940886091893853,0.16656191375070542,2390.334006091343,0.019509221155311705,0.2987707521931819,26,Aston Villa,MID,4.9,0.488139235334889,0.4250164076209866,Full LASSO,0.0,0.0,0
Leandro Trossard,0.018481697448445945,0.2507598841317757,0.23227818668332978,0.13517394266242047,4.650385856850791,220118.0972181477,0.4394542755847693,5.2991382147467085,26,Arsenal,MID,6.5,2.2493416602684304,3.2659405117611895,Full LASSO,54.0,4.5,11
Leigh Kavanagh,0.0,0.0,0.0,0.0,0.0,1299.0846340421608,0.0,0.0,13,Brighton,DEF,4.0,0.5978586798159444,0.3985724532106296,Full LASSO,0.0,0.0,0
Leo Castledine,0.0,0.0,0.0,0.0,0.0,188.56390455384513,0.0,0.0,11,Chelsea,MID,4.5,0.41436707331997213,0.2762447155466481,Full LASSO,0.0,0.0,0
Leon Bailey,0.37253564292264285,0.7816930850514007,0.4091574421287579,1.4399590470408865,8.133967386735579,384870.0149018378,0.9204067857487979,6.684669951013932,26,Aston Villa,MID,5.6,4.121341915679542,4.975784594124338,Full LASSO,41.0,3.4166666666666665,11
Lesley Ugochukwu,0.00023468858684494974,0.00023468858684494974,0.0,0.02448156400095624,0.02564051963908943,17702.823845387597,0.022178579585005263,0.025332894884672698,25,Chelsea,MID,4.4,0.4407807865631075,0.3022981560036292,Full LASSO,2.0,0.16666666666666666,2
