series,policy,GW,weekly_points,base_points,captain_bonus,captain_used,autosubs_used,substitute_points,cumulative_points
"ARIMA (1,1,0)",static,38,37.0,27.0,10.0,Daniel Muñoz,0,0.0,514.0
"ARIMA (1,1,1)",static,27,54.0,53.0,1.0,Daniel Muñoz,1,2.0,54.0
"ARIMA (1,1,1)",static,28,35.0,31.0,4.0,Daniel Muñoz,1,1.0,89.0
"ARIMA (1,1,1)",static,29,3.0,3.0,0.0,,1,1.0,92.0
"ARIMA (1,1,1)",static,30,36.0,34.0,2.0,Daniel Muñoz,1,2.0,128.0
"ARIMA (1,1,1)",static,31,35.0,33.0,2.0,Daniel Muñoz,3,10.0,163.0
"ARIMA (1,1,1)",static,32,52.0,52.0,0.0,Daniel Muñoz,2,4.0,215.0
"ARIMA (1,1,1)",static,33,33.0,27.0,6.0,Daniel Muñoz,1,2.0,248.0
"ARIMA (1,1,1)",static,34,82.0,75.0,7.0,Daniel Muñoz,0,0.0,330.0
"ARIMA (1,1,1)",static,35,44.0,42.0,2.0,Daniel Muñoz,0,0.0,374.0
"ARIMA (1,1,1)",static,36,83.0,70.0,13.0,Daniel Muñoz,1,15.0,457.0
"ARIMA (1,1,1)",static,37,45.0,44.0,1.0,Daniel Muñoz,0,0.0,502.0
"ARIMA (1,1,1)",static,38,50.0,40.0,10.0,Daniel Muñoz,3,4.0,552.0
"ARIMA (2,1,1)",static,27,66.0,65.0,1.0,Daniel Muñoz,1,11.0,66.0
"ARIMA (2,1,1)",static,28,42.0,38.0,4.0,Daniel Muñoz,0,0.0,108.0
"ARIMA (2,1,1)",static,29,17.0,17.0,0.0,,1,13.0,125.0
"ARIMA (2,1,1)",static,30,35.0,33.0,2.0,Daniel Muñoz,1,2.0,160.0
"ARIMA (2,1,1)",static,31,30.0,28.0,2.0,Daniel Muñoz,2,5.0,190.0
"ARIMA (2,1,1)",static,32,46.0,46.0,0.0,Daniel Muñoz,2,4.0,236.0
"ARIMA (2,1,1)",static,33,34.0,28.0,6.0,Daniel Muñoz,3,4.0,270.0
"ARIMA (2,1,1)",static,34,79.0,72.0,7.0,Daniel Muñoz,1,5.0,349.0
"ARIMA (2,1,1)",static,35,52.0,50.0,2.0,Daniel Muñoz,0,0.0,401.0
"ARIMA (2,1,1)",static,36,70.0,57.0,13.0,Daniel Muñoz,1,2.0,471.0
"ARIMA (2,1,1)",static,37,41.0,40.0,1.0,Daniel Muñoz,0,0.0,512.0
